ID,Data Source,Sub-category,Merge Field Label,Merge Field Code,Merge Field Description,Format
225,Action,,Created Date,Action_CreatedDate,Action Created Date,d
50,Action,,File Reference,File_Reference,File Reference,s
49,Action,,ID,Action_ID,Action ID,n
314,Action,,Name,Action_Name,Name of Action,s
313,Action,,Sales Invoices Total (excl. tax),Action_SalesInvoicesTotalExcl,Total Sales Invoices Amount (Excluding Taxes),c
349,Action,,Sales Invoices Total (incl. tax),Action_SalesInvoicesTotalIncl,Total Sales Invoices Amount (Including Taxes),c
226,Action,,Status,Action_Status,Status of Action,s
48,Action,,Type,Action_Type,Action Type Name,s
299,Action Sale Data,,Actual Sale Amount,ActionSale_ActualSaleAmount,Actual Sale Amount,c
300,Action Sale Data,,Actual Sale Date,ActionSale_ActualSaleDate,Actual Sale Date,d
285,Action Sale Data,,Currency Code,ActionSale_CurrencyCode,Currency Code,s
284,Action Sale Data,,Expected Sale Amount,ActionSale_ExpectedSaleAmount,Expected Sale Amount,c
286,Action Sale Data,,Expected Sale Date,ActionSale_ExpectedSaleDate,Expected Sale Date,d
287,Action Sale Data,,Lead Source Notes,ActionSale_LeadSourceNotes,Lead Source Notes,s
297,Action Sale Data,,Linked Order Date,ActionSale_LinkedOrderDate,Linked Order (Sale/Purchase) Sale/Purchase Date,d
295,Action Sale Data,,Linked Order Description,ActionSale_LinkedOrderDescription,Linked Order (Sale/Purchase) Description,s
294,Action Sale Data,,Linked Order ID,ActionSale_LinkedOrderSalePurchaseId,Linked Order (Sale/Purchase) Sale/Purchase ID,n
296,Action Sale Data,,Linked Order Our Reference,ActionSale_LinkedOrderOurReference,Linked Order (Sale/Purchase) Our Reference,s
293,Action Sale Data,,Linked Quote Date,ActionSale_LinkedQuoteDate,Linked Quote (Sale/Purchase) Sale/Purchase Date,d
291,Action Sale Data,,Linked Quote Description,ActionSale_LinkedQuoteDescription,Linked Quote (Sale/Purchase) Description,s
290,Action Sale Data,,Linked Quote ID,ActionSale_LinkedQuoteSalePurchaseId,Linked Quote (Sale/Purchase) Sale/Purchase ID,n
292,Action Sale Data,,Linked Quote Our Reference,ActionSale_LinkedQuoteOurReference,Linked Quote (Sale/Purchase) Our Reference,s
289,Action Sale Data,,Marketing Event Name,ActionSale_MarketingEvent,Marketing Event Name,s
288,Action Sale Data,,Marketing Medium,ActionSale_MarketingMedium,Marketing Medium,s
283,Action Sale Data,,Probability,ActionSale_Probability,Sale Probability,n
298,Action Sale Data,,Status,ActionSale_Status,Current Status (Sold alias or Opportunity alias),s
311,Action Sale Payments Data,,Due On Step Name,ActionSalePaymentSchedule_DueOnStepName,Due on Step Name,s
303,Action Sale Payments Data,,Expected Days After Sale,ActionSalePaymentSchedule_ExpectedDaysAfterSale,Payment expected days after Sale Date,n
305,Action Sale Payments Data,,Expected Payment Amount,ActionSalePaymentSchedule_ExpectedAmount,Expected Payment Amount,c
304,Action Sale Payments Data,,Expected Payment Date,ActionSalePaymentSchedule_ExpectedDate,Expected date (calculated from Days after Sale),d
308,Action Sale Payments Data,,Invoice Date,ActionSalePaymentSchedule_InvoiceDate,Linked Invoice Date,d
307,Action Sale Payments Data,,Invoice Item Amount (excl. tax),ActionSalePaymentSchedule_InvoiceAmountExcl,Linked Invoice Item Amount (Excl Tax),c
306,Action Sale Payments Data,,Invoice Item Amount (incl. tax),ActionSalePaymentSchedule_InvoiceAmountIncl,Linked Invoice Item Amount (Incl Tax),c
310,Action Sale Payments Data,,Invoice Total Amount (excl. tax),ActionSalePaymentSchedule_InvoiceTotalAmountExcl,Linked Invoice Amount (Excl Tax),c
309,Action Sale Payments Data,,Invoice Total Amount (incl. tax),ActionSalePaymentSchedule_InvoiceTotalAmountIncl,Linked Invoice Amount (Incl Tax),c
302,Action Sale Payments Data,,Payment Description,ActionSalePaymentSchedule_PaymentDescription,Description,s
301,Action Sale Payments Data,,Payment Number,ActionSalePaymentSchedule_PaymentNumber,Payment Number,n
839,Bill consolidation,,Action ID,BillConsolidation_ActionID,The Action/Matter ID for the invoice in the consolidation,n
840,Bill consolidation,,Action Name,BillConsolidation_ActionName,The Action/Matter Name for the invoice in the consolidation,s
841,Bill consolidation,,File Reference,BillConsolidation_FileReference,The Action/Matter File Reference for the invoice in the consolidation,n
843,Bill consolidation,,Hours and Minutes,BillConsolidation_HoursAndMinutes,Quantity expressed as hours:minutes for all time entries in the invoice in the consolidation,s
842,Bill consolidation,,Hours as Decimal,BillConsolidation_HoursAsDecimal,Quantity as a decimal (ie Hours) for all time entries in the invoice in the consolidation,n
846,Bill consolidation,,Total (excl. tax),BillConsolidation_Total,"The total price (excl tax, all items) for the invoice in the consolidation",c
845,Bill consolidation,,Total Expenses (excl. tax),BillConsolidation_TotalExpenses,The total price (excl tax) of the expenses for the invoice in the consolidation,c
844,Bill consolidation,,Total Fees (excl. tax),BillConsolidation_TotalFees,The total price (excl tax) of the fees for the invoice in the consolidation,c
455,Bill expenses/disbursements,,Action ID,BillExpenses_Action_ID,Action ID of this item,n
456,Bill expenses/disbursements,,Action Name,BillExpenses_Action_Name,Action Name of this item,s
454,Bill expenses/disbursements,,Date,BillExpenses_Date,Date of the expense (not set if the group/sum flag set),d
450,Bill expenses/disbursements,,Description,BillExpenses_Description,Description of the expense as per the invoice items,s
522,Bill expenses/disbursements,,GST Code,BillExpenses_GstCode,Gst code of the expense as per the invoice items,s
523,Bill expenses/disbursements,,GST Percent,BillExpenses_GstPercent,Gst percent of the expense as per the invoice items,n
452,Bill expenses/disbursements,,Quantity,BillExpenses_Quantity,Total quantity of the expense (or expenses if group/sum enabled),n
